Id,Fen,Moves,Rating,RatingDeviation
3Egzl,2r3k1/pp3ppp/8/8/8/8/PP1r1PPP/3R2K1 w - - 0 29,d1d2 c8c1 d2d1 c1d1,600,104
3FFJ7,6k1/p1q3bp/1p1p2p1/3Pp3/4P3/P1N2Q2/1P4PP/7K w - - 2 42,c3b5 c7c1 f3d1 c1d1,600,86
3FT36,6k1/5p1p/6p1/4B3/2R4P/2prP3/2b2PP1/6K1 b - - 3 31,c2b3 c4c8 d3d8 c8d8,600,80
3Fu98,2rrR1k1/p4ppb/q6p/3P4/2P4N/4Q2P/P4PP1/4R1K1 b - - 3 26,d8e8 e3e8 c8e8 e1e8,600,104
3GM6G,8/8/6kp/4ppp1/3q4/4Q1P1/5P1P/6K1 w - - 0 38,e3d4 e5d4,600,101
3GS8Z,3r2k1/5pb1/pp4pp/2B5/8/Q4N2/PP3PPP/1R1q2K1 w - - 1 24,b1d1 d8d1 f3e1 d1e1,600,96
3H6U9,6k1/8/2p1p2p/4BppB/2r5/3bpP2/6PP/3R2K1 w - - 0 34,d1d3 c4c1 d3d1 c1d1,600,105
3H841,8/2R2p2/1p2bpkp/1p2p3/1P1rP3/5P2/6PP/3R3K w - - 0 29,c7c6 d4d1,600,104
3HD1P,r5k1/5ppp/Rpq5/2p5/1bP5/1P2B2P/1P3PP1/3Q1K2 b - - 4 24,a8a6 d1d8 c6e8 d8e8,600,103
3HuQ3,r2qk1nr/1b2ppbp/6p1/1Bp5/4P1P1/5P2/PPPQ3P/2KR2NR b kq - 0 12,e8f8 d2d8 a8d8 d1d8,600,90
3I0zF,1r6/3kP3/6N1/3p2Np/8/8/3n1PPP/3R2K1 w - - 1 45,d1d2 b8b1 d2d1 b1d1,600,98
3IEZw,1r4k1/ppR2ppp/8/8/8/1P6/P2r1PPP/2R3K1 b - - 5 21,d2a2 c7c8 b8c8 c1c8,600,96
3IS5I,r2r2k1/4Nppp/p1n1b3/1p3q2/1P6/P4N1P/2PQ1PP1/3RR1K1 b - - 2 25,c6e7 d2d8 a8d8 d1d8,600,89
3InYP,6k1/p3rppp/4b3/2R5/1p6/1P3P2/P2N2PP/6K1 b - - 0 27,e7d7 c5c8 d7d8 c8d8,600,99
3Ip6D,r6r/pp1q2k1/1bp2R2/3N4/1P1nP3/P2P3P/2P3B1/R4Q1K w - - 0 26,f6f7 d7f7 f1f7 g7f7,600,98
3Iqoy,r5r1/ppp2p1k/5Q2/4P2b/8/8/PP1R4/K7 w - - 1 28,d2h2 g8g1 f6f1 g1f1,600,115
3IuW1,6k1/p4ppp/1p6/8/5P2/7P/P3rPPK/2R5 b - - 2 25,e2a2 c1c8,600,107
3JNGU,5R2/pb4kp/4Q1p1/3p4/N2b4/1P1P4/P5PP/2q4K w - - 1 25,f8f1 c1f1,600,98
3JNPZ,r3r1k1/pp3p2/2p2Q1p/5b2/8/5R2/PPP3PP/R3q2K w - - 1 26,a1e1 e8e1 f3f1 e1f1,600,84
3JYUE,7k/4R3/1pr4p/8/P3p3/5p2/5P1P/6K1 w - - 0 55,e7e4 c6c1 e4e1 c1e1,600,100
3JcqM,6k1/5pp1/p3pn1p/1pr2b2/8/PB4NP/1PPR1PP1/6K1 b - - 1 28,f5h7 d2d8 f6e8 d8e8,600,80
3KBA2,4r2k/p3r2p/5qp1/1ppB1p1Q/5P1P/2P1P3/PP4R1/2K3R1 b - - 0 26,g6h5 g2g8 e8g8 g1g8,600,101
3KNbU,6k1/6p1/6Pp/3p4/1qQP2P1/1R2PP2/6K1/8 b - - 0 48,b4c4 b3b8 c4c8 b8c8,600,105
3KtOI,1k1r1b1r/1pp3pp/p7/5p2/4R1B1/8/PP3PPP/R1B3K1 w - - 0 17,g4f5 d8d1 e4e1 d1e1,600,100
3L9yJ,1N4k1/5ppp/pp2p3/3r1n2/8/P7/1P3PPP/2R3K1 b - - 0 26,a6a5 c1c8 d5d8 c8d8,600,104
3LG6n,3R4/p4ppk/7p/8/8/4P3/r4PPP/6K1 w - - 1 27,d8d7 a2a1 d7d1 a1d1,600,89
3Lp77,3r2k1/5ppp/pp6/3p1N2/5n2/1P5P/P2Rr1P1/2R3K1 w - - 3 28,d2e2 f4e2 g1f2 e2c1,600,112
3MFWH,2kr4/1p3Q1p/p1n1P3/8/5p2/7P/PP3P2/K2q2R1 w - - 4 29,g1d1 d8d1,600,102
3MGho,2R5/7k/5K2/4P3/7p/6r1/8/8 b - - 3 67,h7h6 c8h8,600,99
3Mhcn,2r4k/6pp/4r3/1p3R2/1N6/2P3P1/5P1P/5K2 b - - 0 38,c8c3 f5f8,600,92
3NcFY,4r1k1/pp2qpp1/2pb1p1p/5Q2/3P4/1BP4P/PP3PP1/R5K1 w - - 1 24,a1c1 e7e1 c1e1 e8e1,600,81
3O2Sw,2k4r/ppp5/3pQ1p1/7q/3p4/P7/1PP3P1/1K2R3 b - - 2 25,c8b8 e6e8 h8e8 e1e8,600,103
3OLin,2r3k1/p2R1ppp/1p6/8/6Pq/2P5/KP6/3R4 b - - 1 25,h4g4 d7d8 c8d8 d1d8,600,96
3PKJV,4r1k1/6p1/6P1/7p/R3P3/1P3n2/1PP5/2K5 b - - 0 35,e8e6 a4a8 e6e8 a8e8,600,107
3POq9,5r1k/p1p3pp/6p1/8/3r2P1/7P/PPP5/1K1R4 w - - 0 24,d1d4 f8f1 d4d1 f1d1,600,89
3PaU7,1k6/bpp4p/p7/P2B4/6p1/1KB1p3/1P5q/5R2 b - - 2 32,b7b5 f1f8,600,89
3PgNj,6k1/p3Rp2/1p4p1/5n1p/PP6/2P3N1/3r1PPP/6K1 w - - 0 36,g3f5 d2d1 e7e1 d1e1,600,100
3Q5uN,6k1/5ppp/2R1pn2/8/8/6P1/r2NPP1P/6K1 b - - 0 22,a2d2 c6c8 d2d8 c8d8 f6e8 d8e8,600,110
3Qi3T,6k1/ppp2ppp/5n2/5P2/5K2/2P2P1P/Pr6/3R4 b - - 1 27,b2a2 d1d8 f6e8 d8e8,600,85
3QqZr,r5k1/5ppp/p2Bp3/1pQnP2P/3Pq3/8/5PP1/2R3K1 b - - 5 29,d5f4 c5c8 a8c8 c1c8,600,104
3R4W4,4r2k/pp2r2p/6p1/b1P2p2/b1BP4/P3BR1P/5PP1/2R2K2 w - - 0 28,e3g5 e7e1 c1e1 e8e1,600,104
3REGH,8/r2r2k1/6p1/7p/7P/8/3R3K/3R4 b - - 0 42,a7c7 d2d7 c7d7 d1d7,600,86
3RGnl,r5k1/4Rp1p/6pQ/p2p1r2/2p5/8/6PP/4Rq1K w - - 2 34,e1f1 f5f1,600,112
3S93x,3q2k1/p4ppp/1p2p3/4P3/3r1P2/P1N1Q3/1P6/1K3R2 w - - 1 29,f1d1 d4d1 c3d1 d8d1,600,110
3SVOb,5R2/p5pk/3b3p/2p2q2/8/1PP5/P3r1PP/R1B4K w - - 0 32,f8f5 e2e1 f5f1 e1f1,600,102
3T4C2,8/2R5/8/8/1p6/3k3P/Pr3PP1/5K2 w - - 4 31,h3h4 b2b1 c7c1 b1c1,600,100
3TQ6l,1rr2k2/5pp1/p3p1p1/1P6/1q4P1/7P/1PBRQP2/1K1R4 w - - 2 28,d2d8 c8d8 d1d8 b8d8,600,108
3TYUp,2r3k1/p4ppp/1n2p3/1P1b4/PN1R4/2r3P1/5P1P/3R2K1 b - - 2 27,d5b7 d4d8 c8d8 d1d8,600,244
3ToSv,6k1/p4p1p/6p1/1P6/2r5/3p4/P4PPP/3R2K1 w - - 0 28,d1d3 c4c1 d3d1 c1d1,600,85
3UR2O,7k/3N2p1/1p5p/5p2/1P6/2r2P2/3q2PP/3R3K w - - 0 31,d1d2 c3c1 d2d1 c1d1,600,90
3V5lS,4r1k1/pp3ppp/1np2B2/4q3/8/2N2Q2/PP3PPP/R2r2K1 w - - 0 20,a1d1 e5e1 d1e1 e8e1,600,94
3VDAG,5rk1/pp3ppp/2p5/3r4/8/1P2R1P1/P5PP/4R1K1 b - - 2 31,f8d8 e3e8 d8e8 e1e8,600,102
3VTmD,r5k1/5pp1/4p2p/1p6/1Q1P4/P3P3/q2R1PPP/2rB2K1 w - - 4 27,d2a2 c1d1 b4e1 d1e1,600,107
3VyQe,4r1k1/p1p2ppp/2p5/8/4R3/2P3PP/P1P2KP1/3R4 b - - 0 21,e8e4 d1d8 e4e8 d8e8,600,101
3W3tO,4r2k/p2Q2pp/2q5/8/4R3/8/PPP3PP/4R1K1 b - - 0 28,c6d7 e4e8 d7e8 e1e8,600,92
3W4ko,2r5/3k1p1p/5B2/3b4/1P6/4R1P1/5P1P/6K1 w - - 1 28,e3d3 c8c1 d3d1 c1d1,600,98
3Xmiq,r1bq1rk1/p4ppp/2pb1n2/8/4N3/3B4/PPQ2PPP/R1B1R1K1 b - - 0 14,d6h2 g1h2,600,112
3YORY,1k2n1Q1/pb6/1pp3p1/3p4/3P1q2/2NB4/PPP5/RK3r2 w - - 0 29,d3f1 f4f1 c3d1 f1d1,600,100
3YYnm,8/p1p1kp1p/1p2pR2/4P2n/1PP1PKpP/8/P7/8 w - - 2 29,f4g4 h5f6 e5f6 e7f6,600,112
3Z5Bo,5r2/pp2prkp/3pQ1p1/8/1P6/P2P4/6PP/R3Rq1K w - - 2 24,e1f1 f7f1 a1f1 f8f1,600,86
3ZLpS,2r3k1/6pp/pq2p3/3p1p2/P2P4/2r1P3/5PPP/RR4K1 w - - 0 24,b1b6 c3c1 a1c1 c8c1,600,113
3ZPn7,2r3k1/5ppp/8/8/8/3RP3/1B3PPP/2q3K1 w - - 0 29,b2c1 c8c1 d3d1 c1d1,600,94
3Zjxj,r2r2k1/pQ3p1p/1p4pB/2b1q3/2p5/2P5/PP3PPP/1N2R1K1 w - - 0 27,e1e5 d8d1 e5e1 d1e1,600,108
3ZnqL,2rr2k1/5pbp/p3p1p1/Pp4Q1/2P1N2R/8/1PP2PPP/R2q2K1 w - - 1 23,a1d1 d8d1,600,87
3ZsJZ,3r2k1/1p3ppp/2p5/p7/2Q5/P1q1P3/1R3PPP/6K1 w - - 0 29,c4c3 d8d1 c3e1 d1e1,600,87
3aKJZ,7k/3R2pp/p4pn1/1p2b3/4P3/5pPP/B4B1K/2r5 b - - 0 33,c1f1 d7d8 g6f8 d8f8,600,83
3arhP,6k1/pp4pp/4R1P1/8/1P2K3/P6r/8/3qb3 b - - 0 44,e1c3 e6e8,600,111
3b1yG,4r3/5k1p/8/3p4/1p6/4B3/1P4PP/3N2K1 w - - 0 33,e3d4 e8e1 g1f2 e1d1,600,101
3bkzT,7r/p6r/4k1p1/5pP1/4p3/4P3/P4PK1/R2R4 w - - 1 35,d1h1 h7h1 a1h1 h8h1,600,96
3btyX,2r3k1/p2r1ppp/2p5/4R3/8/2B3Pb/PP3P1P/4R1K1 b - - 3 21,c8d8 e5e8 d8e8 e1e8,600,95
3c3Wu,5rk1/pppr2pp/2n5/4p3/2B5/1PP4P/P2q1QP1/R4K1R b - - 2 21,g8h8 f2f8,600,100
3c8Dv,2r4k/3q3p/1p4p1/5p2/8/1P6/P4PPP/3R2K1 w - - 0 36,d1d7 c8c1 d7d1 c1d1,600,93
3cBTe,7N/2p5/2p5/7p/4k2P/4p3/q5P1/5RK1 b - - 0 38,a2f2 f1f2 e3f2 g1f2,600,114
3cPPn,6k1/7p/p5p1/8/2p5/P7/1P1br1PP/3R1K2 b - - 3 33,e2e1 d1e1 d2e1 f1e1,600,109
3cQw0,1r4k1/5pp1/4p2p/P2pP3/3n4/1NR5/5PPP/6K1 w - - 0 30,b3d4 b8b1 c3c1 b1c1,600,95
3cgB7,1r1k3r/4RRp1/4p2p/n3P3/4BB2/8/5PPP/1q4K1 w - - 0 36,e4b1 b8b1 f4c1 b1c1,600,108
3dwzE,4rqk1/5nb1/Q7/1p2r3/P1p3RP/8/BPP2PP1/R5K1 w - - 1 30,a4b5 e5e1 a1e1 e8e1,600,108
3eMlX,2r1r1k1/p5pp/2p1Rp2/2Pp4/N7/Pn6/1P3PPP/4RK2 b - - 10 24,b3d4 e6e8 c8e8 e1e8,600,100
3eRAb,4r1k1/2p2ppp/8/p3n3/2P1P3/1K6/P3B1PP/3R4 b - - 1 21,e8e7 d1d8 e7e8 d8e8,600,93
3fK5F,1r1Q2k1/ppp2p1p/b3qP2/2p5/P1r5/2P3PP/6B1/3R1RK1 b - - 2 26,b8d8 d1d8 e6e8 d8e8,600,90
3ff8B,4rk2/2R2p2/8/8/pp1B4/7P/PP6/K5q1 w - - 0 43,d4g1 e8e1 c7c1 e1c1,600,96
3frvF,2r3k1/5p1p/6p1/p2q1p2/8/1P6/P4PPP/3R2K1 w - - 0 28,d1d5 c8c1 d5d1 c1d1,600,93
3g6ii,6k1/ppp2ppp/8/7q/2P2P2/3P1r1P/P1P3QK/R7 b - - 1 24,h5h3 g2h3 f3h3 h2h3,600,86
3gHkX,N7/p5pk/7p/2b1r3/1pP5/1P1q4/1P3PPP/3R2K1 w - - 0 30,d1d3 e5e1,600,94
3getU,6k1/3q1bpp/5p2/2p5/2P1P1P1/p4P2/Nn1QB3/2K5 b - - 1 36,d7b7 d2d8 f7e8 d8e8,600,108
3hSNY,4r1k1/1p3ppb/p1p4p/1pP2P2/1P1RP1P1/P6P/2P5/2K5 b - - 3 28,e8e7 d4d8 e7e8 d8e8,600,107
3hhfh,3r2k1/p4ppp/1p3n2/8/8/PN2q3/1P3PPP/4R1K1 w - - 0 22,e1e3 d8d1 e3e1 d1e1,600,87
3iSkN,7k/1q4pp/8/5P1P/R2pp3/8/2P2PP1/6K1 b - - 3 36,b7d7 a4a8 d7c8 a8c8,600,99
3iWLk,6k1/5ppp/rP6/3p4/R1pPbP2/6P1/3BPK1P/8 b - - 0 26,a6b6 a4a8 b6b8 a8b8,600,91
3inqy,6Qk/5p1p/5p1P/p3p3/2qnP3/6P1/5PK1/1R6 b - - 0 35,h8g8 b1b8 c4c8 b8c8,600,102
3ixVY,1r4k1/6pp/3R4/3pP3/p1b1pP2/P3P3/5RPP/6K1 w - - 1 29,e5e6 b8b1 f2f1 b1f1,600,80
3j9Zu,1r4k1/5ppp/p3p3/q3P3/2pP4/2P2N2/Q4PPP/6K1 w - - 0 22,a2a5 b8b1 f3e1 b1e1,600,94
3jeIa,8/5k2/3p1P1p/1p1P1K1P/1P3p2/8/8/8 w - - 0 44,f5f4 f7f6 f4g4 f6e5,600,113
3jgfY,6k1/p4ppp/4p3/2R5/P1B2P2/1P4Kb/3r3P/8 b - - 4 27,h3f5 c5c8 d2d8 c8d8,600,85
3kcuQ,3r2k1/p1R2pp1/7p/8/8/3r4/P4PPP/R5K1 w - - 1 20,c7a7 d3d1 a1d1 d8d1,600,99
3l1Ve,2b2b1r/3r1k1p/p4p2/1Np5/2p1R3/2P5/PP3PPP/RN4K1 w - - 1 20,b5a3 d7d1 e4e1 d1e1,600,96
3lUwi,1R6/5pkp/p5pb/3Bp3/1p2N3/8/PPr2PPP/6K1 w - - 0 22,b8b4 c2c1,600,103
3lhmu,r4rk1/ppp2q1p/2n1p1p1/4p3/2B3QB/2NPb3/PPP3PP/R4RK1 w - - 0 16,g1h1 f7f1 a1f1 f8f1,600,88
3loMb,7k/1p4pp/p7/5Q2/8/5rP1/PP1n1P2/4R1K1 b - - 0 32,f3f5 e1e8 f5f8 e8f8,600,84
3m6g5,2r3k1/p4ppp/b3p3/3pP3/3N4/1P6/P2q1PPP/3R2K1 w - - 0 25,d1d2 c8c1 d2d1 c1d1,600,106
3mG23,2r5/8/pp3kp1/4p2p/8/P2p4/1PP1RPPP/6K1 w - - 0 32,c2d3 c8c1 e2e1 c1e1,600,96
3mNbk,3r2k1/1p2R2p/6p1/p7/5P2/2b3P1/P5BP/7K w - - 3 29,e7b7 d8d1 g2f1 d1f1,600,106
3mXUB,4r1k1/p4qpp/3Q4/8/8/3P4/6PP/5R1K w - - 0 34,f1f7 e8e1 f7f1 e1f1,600,88
3nZEi,2k1r1r1/pp1q4/8/2bP4/2PPR1pp/6P1/PP2Q2P/4R1K1 b - - 0 27,c5d6 e4e8 d7e8 e2e8 g8e8 e1e8,600,106
3ng9v,1br5/p4pk1/1p5p/3p4/7R/7P/PP3PP1/4R1K1 w - - 0 29,e1e3 c8c1 e3e1 c1e1,600,103
3oN8r,3r2k1/1b3ppp/8/p2q4/1p6/4BP2/PP4PP/1R2Q1K1 w - - 0 24,b1d1 d5d1 e1d1 d8d1,600,111
3ocma,4r1k1/p1p5/2p5/PnP1r1p1/1P3p1P/8/5PPB/1R2R1K1 w - - 0 35,h4g5 e5e1 b1e1 e8e1,600,102
3offH,1nb2k2/6pp/p2p4/1pNr4/2p5/2P2N2/PP3PPP/R1B3K1 w - - 0 23,c5e4 d5d1 f3e1 d1e1,600,98
3olMd,2r3k1/5p2/Q3p1pq/4p2n/4N3/3P3R/PP6/1Kr4R w - - 2 33,h1c1 c8c1,600,108
3ooOo,3r2k1/p4ppp/8/3N4/3n2P1/n1R2P2/7P/7K b - - 2 34,d8d5 c3c8 d5d8 c8d8,600,104
3opN8,6k1/7p/R4Kp1/p7/4P3/8/4r3/8 b - - 6 54,e2e4 a6a8 e4e8 a8e8,600,98
3p1o0,5r2/3k3p/1p1p2p1/4pr2/8/8/2Q3PP/RR5K w - - 4 40,b1b6 f5f1 a1f1 f8f1,600,89
3paZX,1rQ4k/6pp/1q3p2/8/8/4P3/6PP/B1R4K b - - 2 34,b8c8 c1c8 b6d8 c8d8,600,94
3qpuK,5r1k/4Q1p1/3B3p/8/p1b1B3/P7/1P4PK/5q2 b - - 1 44,c4b3 e7f8 f1f8 d6f8,600,103
3rFEa,5rk1/p5pp/2N1p3/1p6/8/P5bP/1PP3P1/3Q1q1K w - - 1 28,d1f1 f8f1,600,105
3rMwb,8/8/3p3p/3Rp2P/1P2P3/r4k2/8/5K2 w - - 0 46,d5d6 a3a1 d6d1 a1d1,600,93
3rjkX,r1b1r3/1p3pkp/p5p1/8/3q4/2P5/PP3PPP/RN1R2K1 w - - 0 19,d1d4 e8e1,600,82
3rpTj,r3Q2k/1p4p1/pqp5/2bp2N1/5P2/1P4PP/P1P1R3/5K2 b - - 6 32,a8e8 e2e8 c5f8 e8f8,600,99
3rqJg,8/R7/1r4kp/5pp1/4p3/P2nP1P1/5P1P/3R1K2 w - - 3 39,d1d2 b6b1 d2d1 b1d1,600,81
3s0ia,1k6/4N3/3r2p1/ppp1R2p/8/1B6/P4PPP/3r2K1 w - - 1 35,b3d1 d6d1 e5e1 d1e1,600,83
3s1og,6k1/p4ppp/4pn2/2Np4/Q7/4P3/1r3PPP/1q3RK1 w - - 5 21,f1b1 b2b1 a4d1 b1d1,600,113
3sJbK,3r2k1/pp3ppp/8/2R3P1/1n6/4P3/1KP5/8 b - - 0 30,d8d2 c5c8 d2d8 c8d8,600,87
3ssQz,2r5/pp3qkp/6p1/2p5/8/7Q/PPP3PP/1K6 w - - 0 26,h3c8 f7f1,600,88
3tBKf,8/R1R2pkp/B4rp1/8/3p1P2/r7/3K2PP/8 w - - 3 27,c7f7 f6f7 a7f7 g7f7,600,113
3tY3f,rn2r3/1p2qpkp/p2p2p1/2pP1p2/2PP4/1P5P/PR2BPP1/3QR1K1 w - - 1 20,e2d3 e7e1 d1e1 e8e1,600,87
3uOEc,4r1k1/2p2ppp/4r3/Q7/1P6/8/P4PPP/q4RK1 w - - 0 23,f1a1 e6e1 a1e1 e8e1,600,100
3ucRG,1r4k1/2p2p1p/6p1/8/8/q7/5PPP/2Q3K1 w - - 0 33,c1a3 b8b1 a3c1 b1c1,600,79
3vDtX,6k1/R4p2/4p2p/p2p2p1/2bP1B2/P3PP2/2r3PP/6K1 w - - 0 29,f4g3 c2c1 g3e1 c1e1,600,93
3vbsn,6k1/p4ppp/1p6/n2b4/5P2/2P3P1/P4P1P/3R2K1 b - - 1 27,d5c6 d1d8 c6e8 d8e8,600,88
3w3Ev,1k4nr/p6p/8/1P2p1N1/q3Pp2/2RP1BP1/1K3P1P/7R b - - 5 33,a4b5 c3b3 b5b3 b2b3,600,104
3wasU,4rk1r/p3q2p/2p1Bp2/n7/5Q2/2N5/PP3PPP/3RR1K1 w - - 5 27,e6f5 e7e1 d1e1 e8e1,600,93
3xCJJ,5k2/p5p1/1pp1pn1p/2Ppq3/8/5Q2/PP3PPP/R5K1 w - - 2 26,a1e1 e5e1,600,109
3xIXd,1kr5/1p6/p2p4/4p2P/3pP1P1/3P3N/PPq5/K1bR1Q2 w - - 1 33,d1c1 c2c1 f1c1 c8c1,600,96
3xXzs,3r2r1/pk6/1p2p3/2p1Q3/4P3/2P5/2P1RP1P/3q2RK w - - 5 35,g1d1 d8d1 e2e1 d1e1,600,115
3xmes,6k1/pR3p2/3p2pK/2pPr2p/2P5/P2Q2P1/7P/5q2 b - - 3 31,f1d3 b7b8 e5e8 b8e8,600,100
3y2iB,6k1/3R1p1p/1p4pB/p3b3/P3Q3/7P/5PP1/2q4K w - - 3 31,d7d1 c1d1 e4e1 d1e1,600,109
3yF2n,5rk1/bp3rp1/2p1Q1qp/4P3/p7/P1P5/1P4PP/4RR1K w - - 0 32,e6g6 f7f1 e1f1 f8f1,600,98
3yT3V,8/8/6kP/P7/6p1/r2p2P1/3B1P2/3K4 w - - 0 55,d1e1 a3a1 d2c1 a1c1,600,113
3yt4f,k2r3r/pp1B1ppp/3Bn3/3pP3/8/2R5/PP4PP/2R3K1 b - - 9 21,d8d7 c3c8 h8c8 c1c8,600,172
3zCey,3r2k1/5ppp/pp2p3/8/3Q4/P6P/1P3PP1/2R3K1 b - - 0 24,d8d4 c1c8 d4d8 c8d8,600,86
3zW4b,4q1k1/5ppp/p7/1p3P2/4Q3/P7/1Pr2PPP/3R2K1 b - - 1 21,e8e4 d1d8 e4e8 d8e8,600,107
3zbFp,r2Q2kr/p4ppp/1p2p3/2p1P3/8/5NP1/PP3PqP/1K1R2N1 b - - 4 20,a8d8 d1d8,600,107
3ziH6,r1b2rk1/p1p2ppp/2p5/2b5/2B1P3/2N1P1P1/PP5P/3R1RK1 w - - 0 14,c4f7 f8f7,600,109
405cI,3rQ2k/p5pp/1p6/5q2/5p2/1N6/PPP3PP/2K1R3 b - - 2 30,d8e8 e1e8 f5f8 e8f8,600,98
40C1v,5k2/p5pp/1p1N1b2/2p5/5P2/1PP4P/2r3P1/4R1K1 b - - 3 29,f6c3 e1e8,600,94
40IY7,6k1/3r1ppp/2p1p3/1p1p4/1P1P4/1r2P2P/R4PP1/4R1K1 b - - 0 26,b3b4 a2a8 d7d8 a8d8,600,111
40Idb,1k6/pp2Rp2/5p1p/8/5P2/5N2/PP3r2/K7 w - - 3 35,f3d4 f2f1 e7e1 f1e1,600,92
40KYI,3r2k1/pp1q1ppp/3rp3/P1p5/2PP4/1PQ4P/3R1PP1/3R2K1 w - - 0 29,d4c5 d6d2 c3d2 d7d2 d1d2 d8d2,600,100
40yRH,2rr2k1/5pp1/4p2p/2qb4/2B1p3/pP2P2P/P2R1PP1/1Q1R2K1 b - - 0 24,d5c4 d2d8 c8d8 d1d8,600,88
4180c,2r3k1/5ppp/4p3/8/7P/8/R4KP1/1r6 b - - 0 42,c8c1 a2a8 b1b8 a8b8 c1c8 b8c8,600,105
41DBW,r3Q2k/1pqn2pp/p1p5/8/8/P1N5/1PP3PP/4R2K b - - 2 25,a8e8 e1e8 d7f8 e8f8,600,80
41Zhr,4r1k1/4qpp1/5n1p/p2p1PP1/8/2PQ2R1/P4PP1/3RrK2 w - - 1 36,d1e1 e7e1,600,106
41j4f,6k1/pr3p1p/4p1p1/8/2qP4/8/P4PPP/2R3K1 w - - 0 25,c1c4 b7b1 c4c1 b1c1,600,108
42CDI,5r1k/pp1Q2pp/8/1P1p4/P7/8/5rPP/q3R2K w - - 0 25,e1a1 f2f1 a1f1 f8f1,600,103
42GIL,3q2k1/5ppp/8/1Q2n3/8/8/P4PPP/6K1 w - - 0 29,b5e5 d8d1 e5e1 d1e1,600,100
42o8i,3b2k1/p4ppb/1P5p/4p3/1P3qP1/P1R4P/8/3K3R b - - 0 30,d8b6 c3c8 b6d8 c8d8,600,95
42vo4,3rQ2k/p5p1/7p/1P1p3b/3q4/6P1/P4RKP/1B3R2 b - - 0 27,d8e8 f2f8 e8f8 f1f8,600,107
436TA,4k3/1p1bpp1p/3p2p1/3P4/4P3/R4P2/P3BKPP/1r6 b - - 2 31,b1b2 a3a8 d7c8 a8c8,600,86
43Syh,5k2/5pp1/4q2p/1p1p4/1P3P2/P1P1Q1P1/5KP1/8 b - - 2 37,e6e3 f2e3,600,111
43WhZ,r3r1k1/pb2qpp1/1p1p1n1p/2pP4/2P4B/P1P2n2/R3BPPP/3QR1K1 w - - 0 18,e2f3 e7e1 d1e1 e8e1,600,94
43i9L,8/1p6/3kq1p1/2p1p1Qp/2PnPP1P/6K1/3N4/8 w - - 1 44,f4e5 e6e5 g5e5 d6e5,600,100
44MAC,1r2k3/R5bp/6p1/2Rp4/3P4/P3P3/5PPP/6K1 w - - 1 29,c5c7 b8b1 c7c1 b1c1,600,103
44cRz,6k1/5pp1/7p/1p6/1P1Rn3/4B3/rP3PPP/6K1 w - - 0 30,d4e4 a2a1 e3c1 a1c1 e4e1 c1e1,600,103
44n2M,r3r1k1/p1p3p1/5pN1/3R2bQ/8/3p2P1/PP5P/1K2qR2 w - - 1 29,f1e1 e8e1 h5d1 e1d1,600,114
44wVz,6k1/pp3ppp/8/4r3/8/1P6/P1P2bPP/5R1K w - - 0 24,f1f2 e5e1 f2f1 e1f1,600,85
45PFl,3R2k1/2p2rpp/5R2/1r6/5B2/8/1P2qPPP/6K1 b - - 1 25,f7f8 f6f8,600,142
45Q9z,7k/6p1/p2q2Pp/1p1p2n1/8/P1P4Q/1P3R2/5R1K b - - 0 33,g5h3 f2f8 d6f8 f1f8,600,94
45pvZ,2r5/8/5p1p/3Rb1k1/8/7P/P1B2PP1/6K1 w - - 3 39,c2e4 c8c1 d5d1 c1d1,600,104
469oJ,6k1/5pp1/1r6/6p1/4p3/8/6PP/5Q1K w - - 0 46,f1e2 b6b1 e2d1 b1d1,600,106
46HUO,r5k1/p1p2p1p/1p1p1Pp1/3P4/1P2n1q1/4R3/PB4PP/4R1K1 b - - 6 26,e4g5 e3e8 a8e8 e1e8,600,78
470kZ,2r1r1k1/1b3ppp/1BnR4/1BP5/Q7/5P2/6PP/2R1q2K w - - 20 35,c1e1 e8e1 b5f1 e1f1,600,96
476p5,4r3/pp6/6kp/2bQ2p1/3p4/3P2p1/PPPN1PPP/7K w - - 0 27,d5c5 e8e1 d2f1 e1f1,600,106
47QyR,3r2k1/1b3pp1/p2q3p/1p6/8/1QR2P2/PP4PP/3rR2K w - - 2 27,e1d1 d6d1 b3d1 d8d1,600,92
47dHB,2r3k1/p4ppp/8/4p3/2r5/PK3P2/1P1R2PP/3R4 b - - 1 26,c4c7 d2d8 c8d8 d1d8,600,97
486ef,4qrk1/ppp3pp/1bn1p3/3pPrB1/3P4/2P2N2/PP1Q2PP/R4R1K w - - 8 18,f3h4 f5f1 a1f1 f8f1,600,84
48Y76,3R4/pp3p1k/2r1p1pp/2P5/1q3P2/1P1Q4/P5PP/7K w - - 0 31,d8d7 b4e1 d3f1 e1f1,600,106
48cYZ,r1bqk2r/1pb2ppp/pnp1pn2/8/3PP3/P1N5/BP2NPPP/R1BQ1RK1 b kq - 4 11,c7h2 g1h2,600,100
48guE,4r1k1/R4ppp/5r2/8/8/5n2/PP3PKP/5R2 b - - 0 23,e8e5 a7a8 e5e8 a8e8,600,106
49GfW,3r4/3r1k2/pp3p2/3b2p1/3R2P1/6BP/PP3K2/3R4 b - - 1 33,d5a2 d4d7 d8d7 d1d7,600,112
